sample_id,split,label,source_dataset,blur_score_px,occlusion_ratio,illumination_entropy_bits,quality_flag
train/fall/frame_0073.jpg,train,fall,leeds_millennium,2.71,0.004,7.750,False
train/fall/frame_0074.jpg,train,fall,leeds_millennium,2.70,0.010,7.767,False
train/fall/frame_0075.jpg,train,fall,leeds_millennium,2.57,0.010,7.778,False
train/fall/frame_0076.jpg,train,fall,leeds_millennium,2.74,0.011,7.771,False
train/fall/frame_0077.jpg,train,fall,leeds_millennium,2.66,0.012,7.781,False
train/fall/frame_0079.jpg,train,fall,leeds_millennium,2.60,0.008,7.767,False
train/fall/frame_0080.jpg,train,fall,leeds_millennium,2.61,0.005,7.772,False
train/fall/frame_0082.jpg,train,fall,leeds_millennium,2.66,0.006,7.805,False
train/fall/frame_0084.jpg,train,fall,leeds_millennium,2.84,0.008,7.777,False
train/fall/frame_0085.jpg,train,fall,leeds_millennium,3.00,0.010,7.752,False
train/fall/frame_0086.jpg,train,fall,leeds_millennium,3.34,0.013,7.731,False
train/fall/frame_0087.jpg,train,fall,leeds_millennium,6.72,0.009,7.588,False
train/fall/frame_0088.jpg,train,fall,leeds_millennium,6.86,0.007,7.354,False
train/fall/frame_0096.jpg,train,fall,leeds_millennium,6.76,0.003,7.539,False
train/fall/frame_0097.jpg,train,fall,leeds_millennium,6.25,0.001,7.586,False
train/fall/frame_0098.jpg,train,fall,leeds_millennium,6.57,0.001,7.524,False
train/fall/frame_0203.jpg,train,fall,leeds_millennium,5.06,0.000,7.081,False
train/fall/frame_0204.jpg,train,fall,leeds_millennium,5.00,0.000,7.017,False
train/fall/frame_0205.jpg,train,fall,leeds_millennium,6.20,0.000,6.774,False
train/fall/frame_0206.jpg,train,fall,leeds_millennium,6.21,0.000,6.722,False
train/fall/frame_0230.jpg,train,fall,leeds_millennium,6.32,0.007,7.508,False
train/fall/frame_0231.jpg,train,fall,leeds_millennium,6.43,0.006,7.479,False
train/fall/frame_0232.jpg,train,fall,leeds_millennium,7.10,0.005,7.476,False
train/fall/frame_0234.jpg,train,fall,leeds_millennium,8.45,0.006,7.376,False
train/fall/frame_0235.jpg,train,fall,leeds_millennium,8.41,0.006,7.404,False
train/fall/people(1006).jpg,train,fall,leeds_millennium,4.49,0.017,7.846,False
train/fall/people(1008).jpg,train,fall,leeds_millennium,3.14,0.024,7.621,False
train/fall/people(1010).jpg,train,fall,leeds_millennium,3.90,0.002,7.855,False
train/fall/people(1012).jpg,train,fall,leeds_millennium,3.66,0.000,7.712,False
train/fall/people(1019).jpg,train,fall,leeds_millennium,6.02,0.003,7.577,False
train/fall/people(1020).jpg,train,fall,leeds_millennium,5.54,0.026,7.553,False
train/fall/people(1021).jpg,train,fall,leeds_millennium,4.15,0.000,7.629,False
train/fall/people(1030).jpg,train,fall,leeds_millennium,5.11,0.054,7.734,False
train/fall/people(1034).jpg,train,fall,leeds_millennium,7.40,0.060,7.121,False
train/fall/people(1036).jpg,train,fall,leeds_millennium,5.69,0.014,7.570,False
train/fall/people(1042).jpg,train,fall,leeds_millennium,5.09,0.080,7.468,False
train/fall/people(1043).jpg,train,fall,leeds_millennium,4.64,0.172,7.438,False
train/fall/people(1044).jpg,train,fall,leeds_millennium,3.80,0.000,7.546,False
train/fall/people(1046).jpg,train,fall,leeds_millennium,3.37,0.160,7.455,False
train/fall/people(1047).jpg,train,fall,leeds_millennium,7.04,0.002,7.316,False
train/fall/people(1048).jpg,train,fall,leeds_millennium,3.02,0.001,7.723,False
train/fall/people(106).jpg,train,fall,leeds_millennium,3.50,0.006,7.669,False
train/fall/people(1061).jpg,train,fall,leeds_millennium,5.59,0.000,7.475,False
train/fall/people(1069).jpg,train,fall,leeds_millennium,4.04,0.002,7.441,False
train/fall/people(1082).jpg,train,fall,leeds_millennium,4.77,0.023,7.348,False
train/fall/people(1083).jpg,train,fall,leeds_millennium,3.21,0.080,7.423,False
train/fall/people(1089).jpg,train,fall,leeds_millennium,4.80,0.004,7.839,False
train/fall/people(1092).jpg,train,fall,leeds_millennium,4.48,0.092,7.347,False
train/fall/people(111).jpg,train,fall,leeds_millennium,6.05,0.007,7.674,False
train/fall/people(1110).jpg,train,fall,leeds_millennium,2.88,0.001,7.484,False
train/fall/people(1124).jpg,train,fall,leeds_millennium,4.19,0.061,7.741,False
train/fall/people(1140).jpg,train,fall,leeds_millennium,7.07,0.001,7.653,False
train/fall/people(1144).jpg,train,fall,leeds_millennium,3.30,0.000,7.021,False
train/fall/people(1165).jpg,train,fall,leeds_millennium,7.63,0.013,6.990,False
train/fall/people(1168).jpg,train,fall,leeds_millennium,3.55,0.051,7.881,False
train/fall/people(1171).jpg,train,fall,leeds_millennium,7.45,0.000,7.490,False
train/fall/people(1173).jpg,train,fall,leeds_millennium,3.20,0.040,7.787,False
train/fall/people(1175).jpg,train,fall,leeds_millennium,3.63,0.013,7.797,False
train/fall/people(118).jpg,train,fall,leeds_millennium,8.04,0.052,7.592,False
train/fall/people(12).jpg,train,fall,leeds_millennium,4.54,0.039,7.790,False
train/fall/people(1212).jpg,train,fall,leeds_millennium,4.67,0.026,7.570,False
train/fall/people(1225).jpg,train,fall,leeds_millennium,3.28,0.034,7.703,False
train/fall/people(1226).jpg,train,fall,leeds_millennium,4.64,0.237,7.131,False
train/fall/people(1231).jpg,train,fall,leeds_millennium,4.27,0.003,7.530,False
train/fall/people(1232).jpg,train,fall,leeds_millennium,5.34,0.117,7.718,False
train/fall/people(1243).jpg,train,fall,leeds_millennium,1.75,0.006,7.773,False
train/fall/people(1247).jpg,train,fall,leeds_millennium,9.32,0.000,7.341,False
train/fall/people(1248).jpg,train,fall,leeds_millennium,7.32,0.000,6.845,False
train/fall/people(125).jpg,train,fall,leeds_millennium,6.28,0.022,7.335,False
train/fall/people(1252).jpg,train,fall,leeds_millennium,3.53,0.000,7.587,False
train/fall/people(1261).jpg,train,fall,leeds_millennium,4.00,0.000,7.485,False
train/fall/people(1267).jpg,train,fall,leeds_millennium,4.98,0.000,7.553,False
train/fall/people(1271).jpg,train,fall,leeds_millennium,3.42,0.055,7.785,False
train/fall/people(1283).jpg,train,fall,leeds_millennium,8.20,0.027,7.719,False
train/fall/people(1288).jpg,train,fall,leeds_millennium,4.07,0.001,7.594,False
train/fall/people(129).jpg,train,fall,leeds_millennium,8.02,0.004,7.611,False
train/fall/people(1297).jpg,train,fall,leeds_millennium,5.29,0.051,7.775,False
train/fall/people(1298).jpg,train,fall,leeds_millennium,9.46,0.053,7.537,False
train/fall/people(1299).jpg,train,fall,leeds_millennium,5.80,0.015,7.532,False
train/fall/people(13).jpg,train,fall,leeds_millennium,4.20,0.004,7.696,False
train/fall/people(1302).jpg,train,fall,leeds_millennium,4.88,0.000,7.692,False
train/fall/people(1321).jpg,train,fall,leeds_millennium,7.97,0.000,7.168,False
train/fall/people(1322).jpg,train,fall,leeds_millennium,3.82,0.014,7.819,False
train/fall/people(1331).jpg,train,fall,leeds_millennium,3.36,0.087,7.782,False
train/fall/people(1336).jpg,train,fall,leeds_millennium,4.04,0.004,7.249,False
train/fall/people(1337).jpg,train,fall,leeds_millennium,2.51,0.099,7.723,False
train/fall/people(1339).jpg,train,fall,leeds_millennium,4.07,0.001,6.928,False
train/fall/people(1347).jpg,train,fall,leeds_millennium,7.35,0.002,7.683,False
train/fall/people(1352).jpg,train,fall,leeds_millennium,4.14,0.006,7.301,False
train/fall/people(1359).jpg,train,fall,leeds_millennium,4.32,0.039,7.861,False
train/fall/people(1375).jpg,train,fall,leeds_millennium,6.26,0.033,7.786,False
train/fall/people(1378).jpg,train,fall,leeds_millennium,3.04,0.012,7.659,False
train/fall/people(1379).jpg,train,fall,leeds_millennium,3.02,0.043,7.740,False
train/fall/people(1388).jpg,train,fall,leeds_millennium,2.97,0.004,7.290,False
train/fall/people(1392).jpg,train,fall,leeds_millennium,5.42,0.000,7.641,False
train/fall/people(14).jpg,train,fall,leeds_millennium,11.11,0.549,4.370,True
train/fall/people(1405).jpg,train,fall,leeds_millennium,2.16,0.000,7.744,False
train/fall/people(1406).jpg,train,fall,leeds_millennium,6.35,0.000,7.460,False
train/fall/people(1412).jpg,train,fall,leeds_millennium,3.14,0.004,7.818,False
train/fall/people(142).jpg,train,fall,leeds_millennium,26.60,0.177,6.093,True
train/fall/people(143).jpg,train,fall,leeds_millennium,6.36,0.006,7.853,False
train/fall/people(1430).jpg,train,fall,leeds_millennium,9.17,0.000,7.778,False
train/fall/people(1434).jpg,train,fall,leeds_millennium,8.35,0.008,7.105,False
train/fall/people(1436).jpg,train,fall,leeds_millennium,6.93,0.000,7.198,False
train/fall/people(144).jpg,train,fall,leeds_millennium,6.01,0.001,7.596,False
